id;valeur
Unit #ZY000149H;2016.00
Unit #ZX001411O;4798.00
Unit #ZX001045V;5815.00
Unit #ZX000822V;6754.00
Unit #ZX000643Q;5135.00
Unit #ZX000612S;3718.00
Unit #ZW001305C;6525.00
Unit #ZW000760D;7876.00
Unit #ZV000732F;5403.00
Unit #ZV000479X;2139.00
Unit #ZU001205Z;6190.00
Unit #ZU000743R;2766.00
Unit #ZU000699N;2175.00
Unit #ZU000631L;5232.00
Unit #ZU000496Y;10845.00
Unit #ZU000451S;1130.00
Unit #ZT000244J;6057.00
Unit #ZT000163N;1814.00
Unit #ZR001568N;4153.00
Unit #ZR000989J;9355.00
Unit #ZR000897V;3402.00
Unit #ZR000559A;9069.00
Unit #ZR000106J;1107.00
Unit #ZQ001620X;5634.00
Unit #ZQ001440I;2671.00
Unit #ZQ001323Y;1686.00
Unit #ZQ001322A;2474.00
Unit #ZP000295F;3398.00
Unit #ZO001404T;7078.00
Unit #ZO001315X;5536.00
Unit #ZO000705Q;7176.00
Unit #ZO000448F;3849.00
Unit #ZO000194O;4599.00
Unit #ZM001526O;9914.00
Unit #ZM001207E;7917.00
Unit #ZM001202O;8792.00
Unit #ZM000467G;1513.00
Unit #ZM000005X;1608.00
Unit #ZL001209T;6133.00
Unit #ZL001133N;1803.00
Unit #ZL000958N;7142.00
Unit #ZL000314D;3592.00
Unit #ZK001444K;6777.00
Unit #ZJ000013U;4725.00
Unit #ZI001301G;4437.00
Unit #ZI000086P;7285.00
Unit #ZH000466Z;1852.00
Unit #ZF000718W;4074.00
Unit #ZF000554P;7814.00
Unit #ZF000532E;5560.00
Unit #ZE001424V;6679.00
Unit #ZE000363O;1160.00
Unit #ZE000185V;3670.00
Unit #ZD000547E;1547.00
Unit #ZC000903L;7294.00
Unit #ZC000078P;1243.00
Unit #ZB000329P;1304.00
Unit #ZA000615K;7948.00
Unit #ZA000147T;1275.00
Unit #ZA000066R;4721.00
Unit #YZ001113P;4577.00
Unit #YZ000914E;5753.00
Unit #YZ000339J;2998.00
Unit #YY001343V;1780.00
Unit #YY000853D;5282.00
Unit #YX001590I;2164.00
Unit #YX000771I;7705.00
Unit #YX000653W;6776.00
Unit #YX000321I;9085.00
Unit #YW001413Q;7790.00
Unit #YV001313G;9526.00
Unit #YU001422U;3266.00
Unit #YU001358O;5301.00
Unit #YU001296K;6578.00
Unit #YT001183A;4031.00
Unit #YS000591S;7800.00
Unit #YR001269F;3687.00
Unit #YR000568V;1174.00
Unit #YQ001197H;1300.00
Unit #YQ001129B;5622.00
Unit #YO000328H;2673.00
Unit #YN001633J;4235.00
Unit #YN001560A;5120.00
Unit #YN001449R;6858.00
Unit #YN001127B;4345.00
Unit #YN000951I;6606.00
Unit #YM000639V;6673.00
Unit #YM000131A;6410.00
Unit #YL000795N;9879.00
Unit #YL000580A;4930.00
Unit #YL000115P;1284.00
Unit #YK001022R;7141.00
Unit #YK000370C;5492.00
Unit #YJ000671T;6263.00
Unit #YH001498D;7884.00
Unit #YH001048D;3543.00
Unit #YH000870X;1182.00
Unit #YG000096B;1393.00
Unit #YE001550M;3962.00
Unit #YE001366B;4780.00
Unit #YD001150Z;1542.00
Unit #YD000684W;7848.00
Unit #YD000354U;4109.00
Unit #YD000232B;1541.00
Unit #YD000129N;6532.00
Unit #YD000119T;9738.00
Unit #YD000026G;6113.00
Unit #YC001250S;7229.00
Unit #YC001102E;4611.00
Unit #YC000794K;3603.00
Unit #YC000654L;5533.00
Unit #YC000404Q;1893.00
Unit #YB001370V;7652.00
Unit #YB000688K;1317.00
Unit #YB000240T;4488.00
Unit #YA000308T;1432.00
Unit #YA000097N;1465.00
Unit #YA000038W;7916.00
Unit #YA000020Z;3705.00
Unit #XZ001024G;2220.00
Unit #XZ000083K;6429.00
Unit #XY000238F;5709.00
Unit #XX000024J;1790.00
Unit #XW001591E;5937.00
Unit #XW000848Y;2986.00
Unit #XW000127V;2502.00
Unit #XV001151O;1129.00
Unit #XV000651V;4810.00
Unit #XV000152R;3993.00
Unit #XU000703F;2985.00
Unit #XU000309H;4645.00
Unit #XT000773O;8416.00
Unit #XT000750J;5620.00
Unit #XS000484P;7343.00
Unit #XR001504C;4814.00
Unit #XQ001082S;1378.00
Unit #XQ000031W;3598.00
Unit #XP001349L;5641.00
Unit #XP001286V;2583.00
Unit #XP001018B;7489.00
Unit #XP000857I;9335.00
Unit #XP000805F;2052.00
Unit #XP000365S;1683.00
Unit #XO001112Z;6191.00
Unit #XO001061E;2989.00
Unit #XO001034W;9807.00
Unit #XO000198D;3642.00
Unit #XN000596X;6537.00
Unit #XN000505V;6199.00
Unit #XM000941Z;8903.00
Unit #XM000858U;3153.00
Unit #XM000726D;7771.00
Unit #XL000715D;6563.00
Unit #XK001309X;5161.00
Unit #XK001252J;9590.00
Unit #XK000716L;4805.00
Unit #XK000601L;3400.00
Unit #XK000340Y;9742.00
Unit #XK000205Z;10974.00
Unit #XJ001472P;2839.00
Unit #XJ000387Y;1138.00
Unit #XI000983W;6357.00
Unit #XI000261A;6792.00
Unit #XG001189K;5522.00
Unit #XF001543C;1094.00
Unit #XF001132Q;3702.00
Unit #XF000609Y;4839.00
Unit #XE000945E;2999.00
Unit #XE000636J;5318.00
Unit #XE000509R;6700.00
Unit #XD000682K;2147.00
Unit #XC001470B;6882.00
Unit #XC000879C;1101.00
Unit #XC000288T;7798.00
Unit #XC000053L;5533.00
Unit #XB001120O;9141.00
Unit #XA001510J;4478.00
Unit #XA001327F;2180.00
Unit #XA001231Z;3562.00
Unit #WZ000064T;9255.00
Unit #WY000069C;7393.00
Unit #WX001357B;9611.00
Unit #WX000048G;6028.00
Unit #WW000579A;8571.00
Unit #WU001320D;6302.00
Unit #WT000711Z;1146.00
Unit #WS000090K;7862.00
Unit #WR001374B;2998.00
Unit #WR001222P;4476.00
Unit #WQ001447G;2043.00
Unit #WQ001214R;7478.00
Unit #WQ001115S;7933.00
Unit #WQ000798G;8885.00
Unit #WQ000720D;3532.00
Unit #WQ000415I;4428.00
Unit #WP001389J;7712.00
Unit #WO001141W;1598.00
Unit #WO000592M;7945.00
Unit #WO000400L;7881.00
Unit #WO000168Q;5706.00
Unit #WN000171F;2059.00
Unit #WN000102W;7694.00
Unit #WL001100D;7890.00
Unit #WL000797Y;6235.00
Unit #WI001009W;4826.00
Unit #WI000896Q;8825.00
Unit #WI000658N;5810.00
Unit #WI000512F;1308.00
Unit #WH000691J;4614.00
Unit #WH000294E;2360.00
Unit #WG000818R;4885.00
Unit #WF000819P;5423.00
Unit #WF000378K;5916.00
Unit #WF000318A;1277.00
Unit #WE000148J;4508.00
Unit #WD000507N;7479.00
Unit #WD000384Y;5996.00
Unit #WC001260N;3915.00
Unit #WC000263H;4481.00
Unit #WB000828X;8250.00
Unit #WB000047G;1628.00
Unit #WA001161E;10706.00
Unit #WA000257L;2859.00
Unit #WA000156E;5232.00
Unit #VZ001083D;8779.00
Unit #VZ000734Z;7692.00
Unit #VX001461L;7764.00
Unit #VX000724L;1784.00
Unit #VX000126A;1304.00
Unit #VW001483D;6709.00
Unit #VW001367L;6027.00
Unit #VW001074B;6323.00
