id;valeur
Unit #ZY000149H;1828.13
Unit #ZX001411O;4304.12
Unit #ZX001045V;4968.18
Unit #ZX000822V;6017.69
Unit #ZX000643Q;4356.85
Unit #ZX000612S;3363.86
Unit #ZW001305C;6036.70
Unit #ZW000760D;7587.19
Unit #ZV000732F;5042.94
Unit #ZV000479X;1853.73
Unit #ZU001205Z;5305.48
Unit #ZU000743R;2639.10
Unit #ZU000699N;2081.16
Unit #ZU000631L;5126.94
Unit #ZU000496Y;10118.48
Unit #ZU000451S;959.10
Unit #ZT000244J;5196.97
Unit #ZT000163N;1647.38
Unit #ZR001568N;3508.25
Unit #ZR000989J;8105.20
Unit #ZR000897V;3000.60
Unit #ZR000559A;7848.44
Unit #ZR000106J;971.00
Unit #ZQ001620X;5221.85
Unit #ZQ001440I;2635.53
Unit #ZQ001323Y;1627.56
Unit #ZQ001322A;2093.07
Unit #ZP000295F;3161.29
Unit #ZO001404T;6271.13
Unit #ZO001315X;5390.31
Unit #ZO000705Q;6809.62
Unit #ZO000448F;3279.68
Unit #ZO000194O;4123.97
Unit #ZM001526O;9611.36
Unit #ZM001207E;7147.98
Unit #ZM001202O;7802.35
Unit #ZM000467G;1424.25
Unit #ZM000005X;1377.84
Unit #ZL001209T;5213.09
Unit #ZL001133N;1722.76
Unit #ZL000958N;6323.24
Unit #ZL000314D;3041.42
Unit #ZK001444K;6645.72
Unit #ZJ000013U;4433.48
Unit #ZI001301G;4078.55
Unit #ZI000086P;6852.85
Unit #ZH000466Z;1691.79
Unit #ZF000718W;3523.29
Unit #ZF000554P;7683.92
Unit #ZF000532E;5015.85
Unit #ZE001424V;6492.63
Unit #ZE000363O;1074.15
Unit #ZE000185V;3614.87
Unit #ZD000547E;1488.87
Unit #ZC000903L;6772.90
Unit #ZC000078P;1167.27
Unit #ZB000329P;1142.12
Unit #ZA000615K;7100.91
Unit #ZA000147T;1098.67
Unit #ZA000066R;4610.02
Unit #YZ001113P;4038.22
Unit #YZ000914E;5203.84
Unit #YZ000339J;2546.19
Unit #YY001343V;1740.78
Unit #YY000853D;4665.68
Unit #YX001590I;1874.48
Unit #YX000771I;6619.51
Unit #YX000653W;6452.29
Unit #YX000321I;7853.54
Unit #YW001413Q;6779.40
Unit #YV001313G;9199.54
Unit #YU001422U;2913.96
Unit #YU001358O;4475.41
Unit #YU001296K;5752.43
Unit #YT001183A;3830.75
Unit #YS000591S;6725.21
Unit #YR001269F;3629.41
Unit #YR000568V;563.98
Unit #YQ001197H;679.21
Unit #YQ001129B;5515.50
Unit #YO000328H;2249.01
Unit #YN001633J;3780.47
Unit #YN001560A;4982.40
Unit #YN001449R;6153.91
Unit #YN001127B;4298.87
Unit #YN000951I;5885.26
Unit #YM000639V;6075.72
Unit #YM000131A;6332.96
Unit #YL000795N;8483.48
Unit #YL000580A;4690.14
Unit #YL000115P;709.84
Unit #YK001022R;6720.90
Unit #YK000370C;4989.34
Unit #YJ000671T;5985.11
Unit #YH001498D;7734.58
Unit #YH001048D;3422.29
Unit #YH000870X;1154.89
Unit #YG000096B;1196.58
Unit #YE001550M;3559.61
Unit #YE001366B;4556.49
Unit #YD001150Z;1441.72
Unit #YD000684W;6864.34
Unit #YD000354U;4049.73
Unit #YD000232B;1361.25
Unit #YD000129N;5771.99
Unit #YD000119T;8889.56
Unit #YD000026G;5414.31
Unit #YC001250S;6379.49
Unit #YC001102E;4500.54
Unit #YC000794K;3259.71
Unit #YC000654L;4779.57
Unit #YC000404Q;1655.90
Unit #YB001370V;7207.74
Unit #YB000688K;974.39
Unit #YB000240T;4256.51
Unit #YA000308T;1384.12
Unit #YA000097N;1387.49
Unit #YA000038W;6847.35
Unit #YA000020Z;3183.71
Unit #XZ001024G;2193.54
Unit #XZ000083K;5614.58
Unit #XY000238F;5524.60
Unit #XX000024J;1573.57
Unit #XW001591E;5760.86
Unit #XW000848Y;2866.24
Unit #XW000127V;2322.76
Unit #XV001151O;1082.87
Unit #XV000651V;4097.95
Unit #XV000152R;3381.57
Unit #XU000703F;2733.18
Unit #XU000309H;4028.43
Unit #XT000773O;7288.77
Unit #XT000750J;4810.73
Unit #XS000484P;6622.50
Unit #XR001504C;4591.03
Unit #XQ001082S;1353.65
Unit #XQ000031W;3042.33
Unit #XP001349L;5292.43
Unit #XP001286V;2327.24
Unit #XP001018B;6503.29
Unit #XP000857I;8443.86
Unit #XP000805F;1860.43
Unit #XP000365S;1657.46
Unit #XO001112Z;5816.02
Unit #XO001061E;2808.97
Unit #XO001034W;8656.79
Unit #XO000198D;3471.25
Unit #XN000596X;6067.36
Unit #XN000505V;5526.02
Unit #XM000941Z;7637.90
Unit #XM000858U;2750.22
Unit #XM000726D;7532.68
Unit #XL000715D;5821.17
Unit #XK001309X;4688.47
Unit #XK001252J;9074.73
Unit #XK000716L;4346.31
Unit #XK000601L;2943.34
Unit #XK000340Y;8771.32
Unit #XK000205Z;10760.68
Unit #XJ001472P;2629.61
Unit #XJ000387Y;658.30
Unit #XI000983W;5836.87
Unit #XI000261A;6031.42
Unit #XG001189K;5081.79
Unit #XF001543C;745.82
Unit #XF001132Q;3471.74
Unit #XF000609Y;4777.35
Unit #XE000945E;2638.85
Unit #XE000636J;5080.74
Unit #XE000509R;6155.29
Unit #XD000682K;2061.63
Unit #XC001470B;6097.76
Unit #XC000879C;1056.38
Unit #XC000288T;6716.08
Unit #XC000053L;5046.07
Unit #XB001120O;8104.90
Unit #XA001510J;4094.32
Unit #XA001327F;2035.17
Unit #XA001231Z;3277.46
Unit #WZ000064T;8812.92
Unit #WY000069C;6464.66
Unit #WX001357B;8386.34
Unit #WX000048G;5130.44
Unit #WW000579A;7430.04
Unit #WU001320D;5592.77
Unit #WT000711Z;557.97
Unit #WS000090K;7710.95
Unit #WR001374B;2641.06
Unit #WR001222P;3808.67
Unit #WQ001447G;2010.08
Unit #WQ001214R;7364.24
Unit #WQ001115S;7296.32
Unit #WQ000798G;8437.54
Unit #WQ000720D;3407.51
Unit #WQ000415I;4121.30
Unit #WP001389J;6535.25
Unit #WO001141W;1408.27
Unit #WO000592M;6905.22
Unit #WO000400L;7028.34
Unit #WO000168Q;5149.77
Unit #WN000171F;1798.20
Unit #WN000102W;7576.51
Unit #WL001100D;6719.71
Unit #WL000797Y;5939.94
Unit #WI001009W;4770.25
Unit #WI000896Q;8699.20
Unit #WI000658N;5102.48
Unit #WI000512F;690.38
Unit #WH000691J;4286.68
Unit #WH000294E;2321.80
Unit #WG000818R;4381.44
Unit #WF000819P;5113.01
Unit #WF000378K;5776.01
Unit #WF000318A;1250.19
Unit #WE000148J;4441.19
Unit #WD000507N;6444.54
Unit #WD000384Y;5154.20
Unit #WC001260N;3436.06
Unit #WC000263H;4308.47
Unit #WB000828X;7081.92
Unit #WB000047G;1428.02
Unit #WA001161E;10266.22
Unit #WA000257L;2817.05
Unit #WA000156E;5022.09
Unit #VZ001083D;7483.20
Unit #VZ000734Z;7137.98
Unit #VX001461L;7546.53
Unit #VX000724L;1732.33
Unit #VX000126A;1248.03
Unit #VW001483D;5983.25
Unit #VW001367L;5141.45
Unit #VW001074B;5683.70
Unit #VV000120Q;5560.07
Unit #VU001627S;1313.27
Unit #VU000519M;7686.78
Unit #VU000226V;2535.24
Unit #VU000180F;1704.65
Unit #VT001293P;6531.14
Unit #VT001257W;7228.38
Unit #VT000279X;5813.56
Unit #VR000755A;7213.02
Unit #VQ000826H;4635.17
Unit #VQ000434B;1403.16
Unit #VP000956T;7110.10
Unit #VP000744X;1678.83
Unit #VP000566S;2562.08
Unit #VP000421V;9570.38
Unit #VO001328W;6006.71
Unit #VO001275B;8272.18
Unit #VN001611T;6965.05
Unit #VN000319B;7984.80
Unit #VN000081Z;629.21
Unit #VN000004W;1196.04
Unit #VM001624A;5782.05
Unit #VM001474G;4368.81
Unit #VM001426T;5056.58
Unit #VM000665X;1813.95
Unit #VM000599F;3113.33
Unit #VM000587L;3062.34
Unit #VL001247R;4478.87
Unit #VK001576D;5070.89
Unit #VK000811L;1870.19
Unit #VK000293X;6992.80
Unit #VJ000936O;4570.84
Unit #VJ000919U;6959.25
Unit #VJ000055G;6258.93
Unit #VH001529K;1163.45
Unit #VH000552D;3965.94
Unit #VG001594P;6203.84
Unit #VG000986X;5381.33
Unit #VG000281R;2649.00
Unit #VF001433C;4205.70
Unit #VF000037E;3023.35
Unit #VE001463I;5342.99
Unit #VE000844G;7521.56
Unit #VD001093T;8164.77
Unit #VD000917A;6784.56
Unit #VD000461I;1035.92
Unit #VD000310B;1878.40
Unit #VD000264G;769.90
Unit #VD000112F;1459.90
Unit #VC001338S;1732.34
Unit #VC000937R;7449.36
Unit #VC000538N;1642.00
Unit #VC000449Q;6797.59
Unit #VC000184J;904.04
Unit #VB001566M;617.77
Unit #VB000862L;3755.33
Unit #VA000698H;5403.06
Unit #VA000426T;3378.77
Unit #VA000065Z;7663.92
Unit #UZ001575U;5688.65
Unit #UZ001108M;4930.93
Unit #UY000558B;4914.40
Unit #UX001384N;6611.25
Unit #UX001195B;1608.54
Unit #UV001166T;3461.19
Unit #UV000949S;8368.75
Unit #UU001317D;1179.31
Unit #UT001114R;6239.57
Unit #UT000719Y;2550.72
Unit #UT000535A;2424.33
Unit #US001016D;6711.45
Unit #US000740K;2018.22
Unit #US000529N;4537.70
Unit #US000442Z;4386.81
Unit #UR000925L;1563.32
