id;valeur
Unit #ZY000149H;1848.00
Unit #ZX001411O;4344.00
Unit #ZX001045V;5009.00
Unit #ZX000822V;6077.00
Unit #ZX000643Q;4395.00
Unit #ZX000612S;3401.00
Unit #ZW001305C;6089.00
Unit #ZW000760D;7650.00
Unit #ZV000732F;5091.00
Unit #ZV000479X;1870.00
Unit #ZU001205Z;5364.00
Unit #ZU000743R;2665.00
Unit #ZU000699N;2100.00
Unit #ZU000631L;5171.00
Unit #ZU000496Y;10218.00
Unit #ZU000451S;969.00
Unit #ZT000244J;5243.00
Unit #ZT000163N;1665.00
Unit #ZR001568N;3541.00
Unit #ZR000989J;8176.00
Unit #ZR000897V;3031.00
Unit #ZR000559A;7921.00
Unit #ZR000106J;981.00
Unit #ZQ001620X;5268.00
Unit #ZQ001440I;2657.00
Unit #ZQ001323Y;1645.00
Unit #ZQ001322A;2115.00
Unit #ZP000295F;3192.00
Unit #ZO001404T;6327.00
Unit #ZO001315X;5449.00
Unit #ZO000705Q;6868.00
Unit #ZO000448F;3307.00
Unit #ZO000194O;4166.00
Unit #ZM001526O;9692.00
Unit #ZM001207E;7225.00
Unit #ZM001202O;7869.00
Unit #ZM000467G;1438.00
Unit #ZM000005X;1393.00
Unit #ZL001209T;5265.00
Unit #ZL001133N;1739.00
Unit #ZL000958N;6377.00
Unit #ZL000314D;3067.00
Unit #ZK001444K;6710.00
Unit #ZJ000013U;4470.00
Unit #ZI001301G;4123.00
Unit #ZI000086P;6910.00
Unit #ZH000466Z;1707.00
Unit #ZF000718W;3554.00
Unit #ZF000554P;7753.00
Unit #ZF000532E;5066.00
Unit #ZE001424V;6560.00
Unit #ZE000363O;1084.00
Unit #ZE000185V;3647.00
Unit #ZD000547E;1504.00
Unit #ZC000903L;6842.00
Unit #ZC000078P;1179.00
Unit #ZB000329P;1153.00
Unit #ZA000615K;7168.00
Unit #ZA000147T;1108.00
Unit #ZA000066R;4658.00
Unit #YZ001113P;4073.00
Unit #YZ000914E;5252.00
Unit #YZ000339J;2573.00
Unit #YY001343V;1759.00
Unit #YY000853D;4711.00
Unit #YX001590I;1892.00
Unit #YX000771I;6683.00
Unit #YX000653W;6517.00
Unit #YX000321I;7938.00
Unit #YW001413Q;6842.00
Unit #YV001313G;9277.00
Unit #YU001422U;2939.00
Unit #YU001358O;4525.00
Unit #YU001296K;5813.00
Unit #YT001183A;3868.00
Unit #YS000591S;6788.00
Unit #YR001269F;3667.00
Unit #YR000568V;570.00
Unit #YQ001197H;686.00
Unit #YQ001129B;5576.00
Unit #YO000328H;2274.00
Unit #YN001633J;3812.00
Unit #YN001560A;5037.00
Unit #YN001449R;6214.00
Unit #YN001127B;4344.00
Unit #YN000951I;5950.00
Unit #YM000639V;6141.00
Unit #YM000131A;6385.00
Unit #YL000795N;8569.00
Unit #YL000580A;4739.00
Unit #YL000115P;716.00
Unit #YK001022R;6779.00
Unit #YK000370C;5031.00
Unit #YJ000671T;6043.00
Unit #YH001498D;7812.00
Unit #YH001048D;3460.00
Unit #YH000870X;1167.00
Unit #YG000096B;1207.00
Unit #YE001550M;3594.00
Unit #YE001366B;4606.00
Unit #YD001150Z;1455.00
Unit #YD000684W;6922.00
Unit #YD000354U;4092.00
Unit #YD000232B;1375.00
Unit #YD000129N;5829.00
Unit #YD000119T;8976.00
Unit #YD000026G;5461.00
Unit #YC001250S;6436.00
Unit #YC001102E;4546.00
Unit #YC000794K;3295.00
Unit #YC000654L;4822.00
Unit #YC000404Q;1674.00
Unit #YB001370V;7271.00
Unit #YB000688K;983.00
Unit #YB000240T;4293.00
Unit #YA000308T;1396.00
Unit #YA000097N;1401.00
Unit #YA000038W;6917.00
Unit #YA000020Z;3216.00
Unit #XZ001024G;2214.00
Unit #XZ000083K;5667.00
Unit #XY000238F;5579.00
Unit #XX000024J;1587.00
Unit #XW001591E;5815.00
Unit #XW000848Y;2890.00
Unit #XW000127V;2343.00
Unit #XV001151O;1092.00
Unit #XV000651V;4137.00
Unit #XV000152R;3414.00
Unit #XU000703F;2758.00
Unit #XU000309H;4069.00
Unit #XT000773O;7356.00
Unit #XT000750J;4853.00
Unit #XS000484P;6685.00
Unit #XR001504C;4631.00
Unit #XQ001082S;1366.00
Unit #XQ000031W;3073.00
Unit #XP001349L;5350.00
Unit #XP001286V;2347.00
Unit #XP001018B;6556.00
Unit #XP000857I;8537.00
Unit #XP000805F;1877.00
Unit #XP000365S;1673.00
Unit #XO001112Z;5867.00
Unit #XO001061E;2837.00
Unit #XO001034W;8743.00
Unit #XO000198D;3505.00
Unit #XN000596X;6125.00
Unit #XN000505V;5573.00
Unit #XM000941Z;7711.00
Unit #XM000858U;2775.00
Unit #XM000726D;7615.00
Unit #XL000715D;5883.00
Unit #XK001309X;4732.00
Unit #XK001252J;9154.00
Unit #XK000716L;4383.00
Unit #XK000601L;2974.00
Unit #XK000340Y;8845.00
Unit #XK000205Z;10856.00
Unit #XJ001472P;2658.00
Unit #XJ000387Y;665.00
Unit #XI000983W;5890.00
Unit #XI000261A;6083.00
Unit #XG001189K;5131.00
Unit #XF001543C;754.00
Unit #XF001132Q;3505.00
Unit #XF000609Y;4822.00
Unit #XE000945E;2664.00
Unit #XE000636J;5136.00
Unit #XE000509R;6209.00
Unit #XD000682K;2081.00
Unit #XC001470B;6156.00
Unit #XC000879C;1066.00
Unit #XC000288T;6787.00
Unit #XC000053L;5094.00
Unit #XB001120O;8171.00
Unit #XA001510J;4132.00
Unit #XA001327F;2055.00
Unit #XA001231Z;3312.00
Unit #WZ000064T;8905.00
Unit #WY000069C;6533.00
Unit #WX001357B;8469.00
Unit #WX000048G;5183.00
Unit #WW000579A;7501.00
Unit #WU001320D;5641.00
Unit #WT000711Z;563.00
Unit #WS000090K;7774.00
Unit #WR001374B;2669.00
Unit #WR001222P;3848.00
Unit #WQ001447G;2031.00
Unit #WQ001214R;7424.00
Unit #WQ001115S;7373.00
Unit #WQ000798G;8514.00
Unit #WQ000720D;3442.00
Unit #WQ000415I;4156.00
Unit #WP001389J;6599.00
Unit #WO001141W;1423.00
Unit #WO000592M;6968.00
Unit #WO000400L;7104.00
